PM10,SO2,CO,NO2,HKIsonuc
64.95,147.26,1142.95,35.24,0
29.62,23.55,843.79,20.73,1
56.37,164.73,1371.11,33.26,1
63.37,194.82,865.3,35.57,0
31.25,95.27,879.32,24.45,1
27.71,85.71,1026.61,24.25,1
32.92,53.39,952.56,22.9,1
65.62,131.98,960.2302424242415,28.4,2
27.88,49.53,608.12,18.5,1
33.53,65.56,850.28,27.66,1
90.78,267.14,936.55,47.07,1
83.34,157.34,906.09,41.93,1
27.74,76.0,973.84,25.02,1
19.33,34.8,962.2,16.23,1
222.28,20.83,986.01,19.64,1
34.99,81.63,1129.4,27.0,1
130.05,387.02,1366.81,54.68,1
131.84,213.63,800.54,50.37,1
108.46,143.02,920.65,48.73,0
88.36,222.3,808.64,42.58,0
136.15,188.28,929.26,50.74,0
165.48,263.29,848.96,54.53,0
82.02,119.04,402.15,37.6,0
44.6,91.1,957.47,28.17,2
41.27,158.74,1177.96,30.29,2
58.11,190.78,752.95,34.65,1
29.61,34.35,717.99,18.35,1
36.18,57.06,946.84,21.31,1
79.92,279.77,1353.06,51.02,1
104.24,175.41,629.68,47.19,1
92.27,348.66,1096.74,53.34,1
122.68,310.87,1196.18,62.58,1
83.83,167.44,960.2302424242415,44.12,1
81.9,99.7,828.09,39.8,1
54.92,64.61,1013.4,41.19,2
87.7,156.34,760.11,47.57,1
52.76,73.62749999999997,593.52,41.49,2
96.66,221.59,960.2302424242415,53.2,1
107.54,286.15,960.2302424242415,45.72,1
114.19,150.61,1340.77,53.36,1
130.42,188.08,1382.98,60.39,1
95.97,164.86,599.38,46.27,0
35.96,63.17,330.17,22.64,1
24.07,62.11,545.34,25.68,1
28.13,73.62749999999997,855.31,25.36,1
44.37,67.85,699.0,27.45,1
80.72,283.03,914.82,45.35,0
85.88,172.21,896.68,43.59,0
68.64,184.71,1121.49,39.19,1
125.12,348.76,1364.89,59.95,1
58.36,167.3,1490.2,42.75,1
121.32,237.79,1727.18,54.72,1
57.81,87.41,1896.86,39.36,2
35.63,26.01,1874.62,22.44,1
48.24,69.65,1220.41,32.49,2
116.46,229.41,572.98,54.83,1
127.06,247.78,960.2302424242415,61.95,1
124.01,73.62749999999997,960.2302424242415,55.5,1
31.9,73.62749999999997,960.2302424242415,25.22,1
36.92,73.62749999999997,960.2302424242415,18.23,1
37.89,73.62749999999997,960.2302424242415,20.06,1
125.89,73.62749999999997,960.2302424242415,52.38,1
130.9,73.62749999999997,960.2302424242415,51.94,1
121.1,73.62749999999997,960.2302424242415,49.23,1
71.21,73.62749999999997,960.2302424242415,21.1,2
44.21,93.44,960.2302424242415,28.97,2
35.45,60.14,501.27,21.59,1
63.73,151.29,745.55,33.56,0
114.29,181.97,963.17,49.26,1
105.8,204.98,1398.68,50.25,1
102.9,146.46,960.2302424242415,47.83,0
43.7,70.18,960.2302424242415,32.48,2
45.39,71.42,1255.37,27.6,2
88.79,183.08,1453.1,44.86,1
112.52,160.11,1455.92,43.73,1
115.29,128.87,1522.66,49.95,1
60.58,94.52,960.2302424242415,39.17,2
63.78,121.4,1711.68,48.04,1
60.95,90.21,2035.3,33.81,2
53.94,63.09,1725.39,30.71,2
69.68,87.39,2007.32,38.46,0
54.07,39.61,545.36,22.97,1
24.69,16.37,519.87,15.56,0
22.76,32.38,439.92,17.46,1
59.5,81.84,712.26,26.49,2
33.75,35.91,841.91,19.2,1
67.09,123.73,1598.68,31.0,1
83.53,224.96,2598.24,47.7,1
88.07,130.94,2119.24,44.89,1
81.2,84.94,2223.92,31.47,1
46.78,57.0,1912.07,24.37,2
36.22,19.02,1395.59,17.27,1
50.03,33.39,1158.88,16.54,0
76.47,32.07,1156.44,17.45,2
78.29,59.53,1284.55,20.19,2
89.3,74.49,1186.01,20.2,2
104.97,139.99,1409.85,31.2,1
105.32,126.09,1160.93,32.58,1
38.06,26.54,372.39,17.44,1
61.4,89.8,549.15,27.35,2
41.44,89.73,700.62,23.74,2
81.16,130.71,1393.42,38.14,1
51.81,64.35,1166.58,25.11,2
